Gene.symbol logFC
NF1P9///NF1 -1.49e-01
ANKRD28 1.89e-01
GMEB1 -1.91e-01
ZFAND2A -1.38e-01
FAM95A 1.40e-01
HMGCLL1 -2.83e-01
LOC101928879///ZNF250///COMMD5 -1.42e-01
KRT7 1.34
TSPAN32 5.89e-01
NOP14-AS1 -8.77e-01
TRUB1 1.43
DNAJC10 -2.43e-01
PTGER4P2-CDK2AP2P2 -9.82e-01
RBMS1 1.47e-01
LOC101929341 1.45
GPAT4 -3.57e-01
LOC399900 3.24e-01
HDLBP 2.06e-01
EIF2B2 -1.13e-01
CARS-AS1 1.11
CLEC4GP1 -3.28e-01
ARIH2 -2.45e-01
CBR1 -1.80e-01
PROX2 7.10e-01
LNX1 -1.67e-01
AP1S3 -5.84e-01
LOC100287525 3.88e-01
HCG22 7.33e-01
PNO1 -1.95e-01
TRAFD1 -1.67e-01
ENSA -2.23e-01
ANKAR -3.58e-01
LZTS1 2.01e-01
METAP2 -2.25e-01
EP300 1.19e-01
TSNAX -1.15e-01
ADAT3 3.68e-01
TRAC 3.52e-01
AFF4 -2.14e-01
F5 -7.67e-01
RHOF -1.78e-01
NUS1 -1.16e-01
SULT1C2 -1.48e-01
ZDHHC5 1.52e-01
ARHGAP30 2.37e-01
RBMY3AP 1.22
LOC729970 -2.59e-01
THOC5 -1.12e-01
LOC101927719 -1.35
CPEB3 2.55e-01
FRK -1.98e-01
IAH1 1.21e-01
TMEM216 1.84e-01
CCDC71L 5.54e-01
PMF1-BGLAP///PMF1///BGLAP -1.35e-01
RBL1 4.10e-01
TUBGCP6 -2.27e-01
LOC105375527 1.33
PRSS3P2 8.81e-01
NFATC1 9.49e-01
LPCAT3 1.80e-01
OSER1-AS1 4.72e-01
ADO -1.61e-01
RPL35A 2.94e-01
ZNF710 2.16e-01
LOC101928818///PWRN1 3.54e-01
LOC101927346 7.10e-01
MXD3 6.53e-01
SAP30BP -1.77e-01
MAGI2-IT1 1.14
LOC101929413 1.14
LINC01013 1.35
CWC27 -1.82e-01
TACR2 6.84e-01
LOC101928409 1.06
CHST13 1.86e-01
MAST4 6.47e-01
CEP85 1.26e-01
FUT6 -3.74e-01
PHRF1 2.71e-01
GLYR1 -2.33e-01
ZNF548 2.55e-01
MASP2 -2.36e-01
RFX1 2.05e-01
TIAL1 -7.34e-01
FLJ30064///BRI3 4.62e-01
PGBD2 1.53e-01
WASF2 1.38e-01
LOC102546294 -9.12e-01
DCLK1 -1.20e-01
KIRREL2 9.31e-01
PLCB1 -3.29e-01
CMAHP 9.26e-01
C8orf48 2.84e-01
DEPDC5 2.72e-01
LRRN4 -6.44e-01
HUNK -3.76e-01
RCAN3 2.18e-01
CSRP2 -1.12e-01
CLUL1 -7.45e-01
POLG 2.42e-01
KLF9 8.55e-01
MAP1A -1.11
SF1 1.66e-01
LIPJ 4.64e-01
BFSP2-AS1 2.58e-01
GLYCTK 8.41e-01
FRMD4A 1.75e-01
LOC101929777///WNT3 2.72e-01
EMC3 1.68e-01
PPM1D 2.00e-01
NPHP3 1.29
UBE2G2 -1.29e-01
PRSS2 -1.19
SYNGR1 -1.40e-01
SRRM1 1.52e-01
CYB5RL 1.03
SEPT4 3.99e-01
LCA5L 2.72e-01
GOLIM4 1.27e-01
LOC692247 -2.64e-01
RRP1B 1.31e-01
HMOX2 -1.77e-01
BRWD3 2.89e-01
C9orf173-AS1 5.17e-01
TIMD4 -6.90e-01
HSPB1 1.37e-01
ZBTB38 4.30e-01
FLJ23867///QSOX1 2.12e-01
PCNX1 -3.23e-01
CEACAM6 5.38e-01
SCIN -5.20e-01
RBM33 3.33e-01
GOLGA1 1.21e-01
PPARD 2.47e-01
MAP3K11 1.85e-01
USP31 2.33e-01
CLEC18A///CLEC18C 2.21e-01
POU3F3 -2.82e-01
TCTN3 1.41e-01
PIEZO2 3.94e-01
TPD52 -6.38e-01
ZNF26 -1.60e-01
METTL15 -2.53e-01
EFCAB1 -4.91e-01
PRUNE2 -1.63e-01
ROGDI 1.47e-01
ADAMTSL4 -1.21
GSN 1.03
CPE -1.27e-01
KREMEN1 6.03e-01
TYMS 8.11e-01
SH3KBP1 1.52e-01
TMEM150C 3.03e-01
NELFB 1.15e-01
KIAA1524 2.17e-01
POLD3 -3.95e-01
C14orf178 -1.47e-01
TNFSF12-TNFSF13///TNFSF13 2.93e-01
LOC100127955 5.27e-01
CCR1 1.09
MSTO2P///MSTO1 1.25e-01
FBXO3 -2.86e-01
REV3L -3.00e-01
ADORA3 -7.93e-01
PAX7 -4.24e-01
IQCA1 3.23e-01
ANP32E 1.01e-01
SUPT6H -1.19e-01
CA9 -3.66e-01
TRIM50 8.85e-01
CC2D1A 1.38e-01
LOC728613///PDCD6 -2.62e-01
KLF13 -1.29e-01
PSIP1 7.33e-01
RGR 1.02
IGSF10 -2.19e-01
FLJ31356 1.19
SNURF///SNRPN 1.43e-01
GTF2A2 -1.35e-01
NUFIP1 -2.88e-01
TJP2 7.46e-01
MYH8 -1.09
ATP6V0E1 -3.22e-01
PREP -3.30e-01
PCYT1A -1.68e-01
KRT73 7.74e-01
KRTAP4-7 1.10
TRIM14 -2.85e-01
TBX3 1.03
CSRNP2 -2.71e-01
MED16 -1.46e-01
RNF32 -5.55e-01
PREX2 -5.37e-01
CIRBP-AS1 4.11e-01
HSPB11 -1.54e-01
EBF1 -1.23e-01
SHROOM4 7.89e-01
LOC101930322///ABCC6P2///ABCC6P1///ABCC6 -2.14e-01
SEPT10 -1.34e-01
MAPKAPK2 1.44e-01
PTGER3 -4.98e-01
MEGF11 -6.49e-01
BPTF -1.13e-01
CATSPERG 1.19
PDCD2 -1.07e-01
CACNA2D2 -2.77e-01
LRRC10B 1.08
CSNK2A2 -1.96e-01
DDX54 1.65e-01
ACSF3 1.77e-01
ZNF581 -2.28e-01
CH17-408M7.1///LOC101929257///LOC101927468 8.67e-01
PHLPP2 2.06e-01
RAD17 -1.60e-01
ABCC5 2.44e-01
ZNF770 -1.44e-01
PHTF1 -1.38e-01
KRT16 1.38
SLC25A27 -1.29
CDKL3 1.71e-01
BLVRA 1.35
CDK13 2.74e-01
PNN -1.11e-01
ARID1B 2.14e-01
FHIT -3.19e-01
TRIM47 1.50e-01
MKNK1 3.13e-01
CPSF7 1.27e-01
KDM5B -2.78e-01
PDE11A 6.16e-01
ZDHHC12 2.60e-01
ANKRD30B 1.01
SEC22C 1.34e-01
FAM9C 1.36
HNRNPK -1.52e-01
CYP2C9 1.04
AIFM3 4.32e-01
SPATA19 1.00
RBPJL 4.75e-01
WDR11 -2.04e-01
RC3H1 -1.35e-01
CENPQ -2.72e-01
LOC101927021 -1.65e-01
KCNJ4 4.06e-01
KLHL28 1.97e-01
PRKAB2 1.56e-01
OR51B5 1.20
CNTNAP4 1.99e-01
KAZN -2.53e-01
FXYD3 2.56e-01
KYNU 1.98e-01
CA4 1.08
LOC101926907 7.32e-01
JAK1 -1.05e-01
TMEM39A 1.10e-01
NEO1 -5.01e-01
ANO4 2.27e-01
CACNA1S 8.57e-01
RUBCN 1.36e-01
MARK2 2.31e-01
LOC100128988 7.03e-01
PRMT9 -1.26e-01
ECHDC3 -1.67e-01
LOC101928510 -4.82e-01
MRPL50 -1.60e-01
CNKSR2 -1.60e-01
MGC4859 -1.18
CSF2RA 1.29
POLG 1.84e-01
ATP11B 1.18e-01
KIF15 1.51e-01
C6orf52 -1.99e-01
KCNH7 -6.98e-01
LARP4B -1.17e-01
C6orf15 -6.34e-01
TBC1D25 -2.69e-01
CCNL1 1.53e-01
AK2 1.66e-01
MMP17 7.62e-01
CXorf56 -3.95e-01
CTAGE5 2.74e-01
KDM5B 9.37e-01
MAP2K7 5.08e-01
C7orf55-LUC7L2///LUC7L2 -2.44e-01
SLC6A13 3.61e-01
ACE2 6.56e-01
RAX 6.26e-01
C7orf25///PSMA2 -2.74e-01
FCRL2 6.32e-01
ACKR4 -1.07
MYO9A 2.51e-01
VILL -9.51e-01
LUNAR1 1.09
SMIM10L2A -5.50e-01
PLPPR2 1.99e-01
ANGPTL2 1.50e-01
GRM5 -4.54e-01
ASTN2 1.04
ZCCHC4 4.08e-01
CFLAR 4.29e-01
CCNJ 1.84e-01
SNX33 1.99e-01
R3HDM4 1.31e-01
LOC284219 2.78e-01
TRIP11 1.49e-01
LOC100240734 3.59e-01
LOC101929609 9.40e-01
TRIM42 4.26e-01
LIN54 -1.79e-01
BAALC -3.50e-01
ZBTB20 -1.95e-01
RUFY2 -3.70e-01
LOC101927137///KIAA1456 4.21e-01
LOC654841 -9.88e-01
NUFIP1 2.49e-01
BEND5 7.67e-01
GRHPR -1.30e-01
ST7-AS1 1.42e-01
TNXB 7.41e-01
RBM25 1.21e-01
EIF3H -3.62e-01
SLC29A2 6.47e-01
LOC101929372 9.65e-01
ANGPTL3 1.02
BCLAF1 -4.18e-01
ZBTB38 -2.43e-01
BCL2L13 -5.58e-01
PRKAA1 -1.22e-01
AAK1 -1.52e-01
ESR1 5.16e-01
LINC00665 7.54e-01
GPR89B 4.52e-01
HDAC2 -1.28e-01
FRY 4.61e-01
PEX5L -3.74e-01
LOC285847 -5.31e-01
RNF111 -1.36e-01
ZNF365 -4.99e-01
STK19 1.11e-01
CADM3 3.18e-01
MAPKAPK2 1.92e-01
UBXN4 -1.58e-01
LOC102606465 -1.47e-01
WFDC11 5.79e-01
CXCR5 5.79e-01
GFAP -5.79e-01
PLG 5.79e-01
SLC38A11 5.21e-01
RUNDC3A 1.98e-01
MFSD12 4.74e-01
RHOJ 1.20e-01
ZNF569 2.52e-01
CD5 -4.95e-01
CCR5 -4.95e-01
ARHGEF10 -1.81e-01
FAM206A -2.17e-01
PDCD2 -2.02e-01
ANKIB1 -1.89e-01
ST6GAL1 2.85e-01
SEPT8 -1.79e-01
GMNC 9.27e-01
CCDC18 1.94e-01
ARPC4-TTLL3///TTLL3///ARPC4 7.87e-01
FAM19A2 -6.45e-01
HIF1A -1.21e-01
LOC645321 -7.26e-01
DR1 -1.72e-01
HSPA14 -1.49e-01
MAP3K2 6.81e-01
GPR21 3.16e-01
CUL4A -1.31e-01
DTNA -1.42e-01
RBM15 -3.96e-01
ZNF655 -1.59e-01
TDP1 1.06
COBLL1 -1.75e-01
MYO9A 1.44e-01
IVNS1ABP -2.55e-01
LPAR6 1.29
SERPINF1 3.90e-01
FAM156B///FAM156A 1.25e-01
PGAP3 -2.10e-01
C7orf77 -1.12
NRAP 1.66
PDLIM5 -3.53e-01
KLC3 -2.82e-01
MPDZ -1.29e-01
SLC25A35 -5.85e-01
BCORL1 1.56e-01
SMAD9 -8.49e-01
DUSP27 6.69e-01
BCL2L11 1.37e-01
ZNF621 2.48e-01
CASP8AP2 2.90e-01
LILRB3 5.08e-01
LCE1B 5.57e-01
DDX6 3.59e-01
FCRL2 1.06
RAD1 -1.22e-01
ZDHHC11B///ZDHHC11 -1.65e-01
DZIP3 -1.29e-01
PWWP2A -1.07e-01
FGA -7.10e-01
ISM1 4.28e-01
VSX1 1.10
ZSWIM8 1.51e-01
SLC27A2 1.57e-01
BFSP2-AS1 -7.59e-01
NRGN -2.87e-01
RGS7 4.37e-01
ZNF32 2.59e-01
SLC25A13 1.23e-01
RNFT2 -2.10e-01
AGBL5 4.29e-01
COL12A1 -8.51e-01
ZNF382 -2.93e-01
QRICH1 -2.11e-01
MMP16 1.01
SOD1 -1.05e-01
TLX3 -2.61e-01
CD40 9.65e-01
RHOJ -1.38e-01
HHIP 1.27
ASXL1 2.01e-01
GTPBP2 -1.58e-01
ND4 -1.55e-01
DMRT2 -1.99e-01
ZNF502 3.77e-01
TBC1D2B 1.49e-01
LINC00635 4.16e-01
CARD19 2.11e-01
MYLK 2.36e-01
ACSM3 -6.29e-01
ZSCAN23 2.76e-01
AGO1 2.31e-01
NCOA3 -1.42e-01
RAB1A 1.01
WTAP -8.35e-01
CADM1 2.88e-01
LRRIQ3 8.12e-01
ZNF462 7.17e-01
ZNF569 2.10e-01
TAMM41 -7.01e-01
XRCC4 -1.64e-01
NUS1 -1.11e-01
POMGNT1 3.99e-01
NTS -5.35e-01
KDM3B -1.15e-01
HIPK1-AS1 6.52e-01
INHBC -1.54e-01
SSR3 1.48e-01
TMEM132D -1.46e-01
DOCK9 -9.36e-01
U2SURP 1.76e-01
FAM120A -2.74e-01
FLVCR2 6.69e-01
TMEM59 -1.29e-01
LOC101927616 5.28e-01
SIAH1 -3.75e-01
MATN1 -6.89e-01
CHKA 1.78e-01
AGO1 1.29e-01
PRR14 1.22e-01
SNTB2 2.48e-01
TMEM52B 1.26
PML 2.34e-01
CRNDE -1.31e-01
NSUN5 1.67e-01
CNR1 3.15e-01
LOC100128281 8.59e-01
CDH6 6.15e-01
ANKRD30BP3 1.10
MIR6741///PYCR2 -1.71e-01
FAM210A -1.70e-01
TLR6 3.99e-01
TP73 -2.35e-01
WIPI2 4.25e-01
SRD5A3-AS1 7.98e-01
SLC9A3R2 1.13
TSIX -9.02e-01
CEBPE 2.52e-01
PCNX4 1.19
CLDN10-AS1 5.52e-01
RSPH3 1.38e-01
PAM -1.18e-01
RC3H2 -2.58e-01
GRIA2 -1.14
CKMT2 8.38e-01
CCDC40 -7.78e-01
PML 2.14e-01
GSTO2 2.82e-01
MAGEA10-MAGEA5///MAGEA5 1.15
NOM1 1.24e-01
FAM213A 1.38e-01
VPS36 1.22e-01
DDX42 1.12e-01
SETMAR 2.15e-01
SPINT1 -3.30e-01
PDLIM7 9.69e-01
MCRIP1 -3.07e-01
PPARA -3.21e-01
ARMCX4 4.70e-01
LINC00518 7.77e-01
GABPB1-AS1 8.20e-01
SMIM10L2B///SMIM10L2A -3.27e-01
PIAS2 1.32e-01
BIRC3 3.29e-01
NFIB -5.28e-01
PRKCA 1.13e-01
PTPRE 4.14e-01
ALB 9.93e-01
PTPN4 1.34e-01
C17orf51 2.48e-01
LOC101928702 4.00e-01
GDNF 4.51e-01
C16orf92 -6.71e-01
IGK///IGKC 4.05e-01
PDE5A 1.01
STAM -1.05e-01
DBF4B 6.65e-01
C14orf80 3.27e-01
ARFGAP1 1.49e-01
CCDC144CP 4.33e-01
TCF4-AS1 1.11
PYGO1 -1.47e-01
LOC100506851 6.79e-01
UBE2D1 -1.23e-01
CCR2 9.86e-01
RING1 -1.11e-01
ZNF536 -1.80e-01
EDIL3 1.54e-01
ARRB1 2.77e-01
ZNF785 1.46e-01
MRPL57 -1.21e-01
LRRC73 3.15e-01
TGFA -9.56e-01
LOC729173 5.32e-01
PCNX4 -2.80e-01
CFC1B///CFC1 -3.27e-01
GALNT3 -1.62e-01
PNISR -1.01e-01
SKAP2 -1.25
FLJ37035 -1.36
PI4KB 2.71e-01
ACSM5 4.21e-01
RPL38 1.47e-01
DPF3 -1.30
NXPH3 7.54e-01
ENAH 2.65e-01
TMED7-TICAM2///TMED7 1.39e-01
LOC105374809 -3.22e-01
SCRG1 4.71e-01
PCBP1-AS1 6.70e-01
ZFYVE28 -1.12
SLC39A9 1.30e-01
YLPM1 -1.79e-01
IL10 -1.54
NRTN -1.12
TLE4 3.31e-01
HDAC8 -1.76e-01
PURG -3.90e-01
SCGB1D1 1.23
RASGRP2 2.59e-01
KIR3DL2///KIR3DL1 -9.69e-01
PKD1L1 5.61e-01
CEP95 1.89e-01
KPNA6 -1.40e-01
GKAP1 1.34e-01
CCEPR -7.41e-01
PTP4A2 -1.02e-01
ALAS2 -3.84e-01
CRHR2 9.27e-01
EPC1 -1.09e-01
PLXNC1 -8.96e-01
AFMID 7.87e-01
SPOCK2 -1.06
UCHL5 -1.42e-01
PSG1 4.34e-01
MIR6716///PHLDB1 1.80e-01
MPPE1 1.69e-01
MRPL3 1.02e-01
COL22A1 3.44e-01
SSRP1 -1.44e-01
GOLGA3 -1.53e-01
LOC101928491 1.15
FGF7P3///FGF7P6///FGF7 -2.68e-01
KAT6A -1.63e-01
CCDC88A 1.37e-01
TCEANC 3.87e-01
EHF 4.49e-01
ZFP28 2.01e-01
ZNF267 2.19e-01
MIOS 1.46e-01
NEU3 1.54e-01
DLG5-AS1 3.34e-01
YARS2 1.39e-01
SATB1 2.75e-01
KIAA1211 1.12e-01
LAPTM4A 1.17e-01
TMED2 1.14e-01
AKT3 1.94e-01
NCR3 5.98e-01
TMPRSS11D -3.14e-01
RLN1 2.61e-01
SLC30A5 -3.11e-01
OR10A5 1.01
KLC1 1.98e-01
DCD 4.95e-01
ERG 8.04e-01
ASB1 -1.72e-01
CRTC3 3.00e-01
KLHDC4 8.62e-01
PPFIA2 -1.27
TNRC18 -1.88e-01
CYP2C18 6.84e-01
ZNF483 4.32e-01
VWA3B 3.63e-01
SLC6A11 -2.66e-01
HLTF -1.26e-01
SFTPC 5.28e-01
MEGF6 -5.28e-01
LOC286359 9.69e-01
LYRM1 -1.70e-01
EIF3M -1.32e-01
SLC7A9 2.32e-01
LOC202181 2.61e-01
LINC00475 7.74e-01
LRRC2-AS1 7.74e-01
CCDC169 7.74e-01
KPNB1 -1.10e-01
SOX7 -3.11e-01
PP2D1 6.75e-01
ZNF84 -1.26e-01
CMA1 -9.49e-01
ESD 9.37e-01
HIRA 7.81e-01
AHCYL1 -1.80e-01
ZCCHC17 -2.30e-01
NDOR1 3.58e-01
COX15 -1.29e-01
ITPR1 1.06
SCGB1D2 -1.06
CCSER1 1.06
LINC01233 -1.06
RPS6KA6 -4.33e-01
TUBA1B -1.06e-01
DCAF7 -1.31e-01
RPL37A -1.41e-01
EIF2B4 -1.17e-01
KIAA1211L 7.23e-01
RILP -2.53e-01
FAM71F1 -4.86e-01
TPT1-AS1 2.85e-01
PRR14 2.20e-01
LINC01231 4.19e-01
PMP2 2.27e-01
CHAC1 -2.51e-01
DNM3OS 2.87e-01
THSD4 4.29e-01
EP400NL -1.37e-01
DGCR10 1.30
LOC100505774 -6.67e-01
RBM39 1.39e-01
PADI2 -2.18e-01
LOC646743///TISP43 1.46
KLHDC3 -1.16e-01
SCAF4 -1.19e-01
RGS14 2.33e-01
NAIP 1.52e-01
ELFN1 -2.64e-01
GTPBP4 -1.50e-01
MIR124-2HG 2.69e-01
C21orf58 1.06
SDCCAG8 -1.36e-01
TGIF2 -1.46e-01
RAB11FIP2 1.19e-01
PAK4 -1.68e-01
UGGT2 6.10e-01
RANBP1 -1.64e-01
C19orf24 2.49e-01
TMEM132B 1.07
CHST1 -4.40e-01
PPP1R14D 2.88e-01
KIAA2026 -1.00
LOC101928259 1.00
GFRA2 -5.47e-01
GNLY -6.67e-01
KCNJ1 6.67e-01
LOC102723407///IGHV4-31///IGHM///IGHG4///IGHG1///IGHA2///IGHA1 -6.67e-01
IMPG2 6.67e-01
LOC219688 6.67e-01
TNFRSF10C 8.56e-01
SASH1 -1.50e-01
UROD -1.24e-01
TTC26 3.89e-01
ZNF331 1.50e-01
C5orf51 -3.99e-01
SLC30A4 1.36e-01
MYBL2 3.95e-01
EXOC7 1.08
COL4A5 -1.44e-01
MAPK1 7.41e-01
FGF5 3.67e-01
MIR6716///PHLDB1 6.71e-01
BRIX1 1.90e-01
DDX23 -1.11e-01
ATP11A -9.46e-01
LOC101927282 -7.88e-01
AGAP1 1.84e-01
PTGER1 7.69e-01
CMTM6 4.13e-01
RGS12 -3.45e-01
ZNF749 -2.07e-01
KMT2D 1.62e-01
SLC35C2 4.45e-01
CUL3 1.05
RABGAP1L 2.12e-01
FUT10 1.97e-01
ASH1L 1.49e-01
RRS1-AS1 -1.00
PSMD3 -1.33e-01
KIAA1211L 5.79e-01
TRABD2B 5.36e-01
PDZD2 4.06e-01
RABGGTB -1.45e-01
KANSL1 1.26e-01
EFCAB11 -1.38e-01
CISD2 -5.89e-01
SIGLEC10 -6.58e-01
LINC01393 -1.15
LOC102724809 1.15
DCAF5 2.44e-01
LOC100130502 -4.36e-01
LOC101930235///TRIM49D2///TRIM49D1///TRIM48 1.83e-01
DCTN5 -2.83e-01
NPTN 1.09e-01
SLC17A4 1.41
PHF1 1.63e-01
STOX2 1.26
TMX2-CTNND1///CTNND1 -1.14e-01
CHRNA10 9.44e-01
LOC100233156///TEKT4P2///MAFIP -1.31e-01
C9orf47 3.65e-01
MDC1 2.40e-01
DSG2-AS1 5.66e-01
RAD51B -6.55e-01
HELZ2 1.02
ATF4 -1.13e-01
SLC9A5 4.88e-01
ARID5B 9.18e-01
ENOX2 -2.50e-01
KHSRP 3.68e-01
TCF3 9.52e-01
WBP2 1.27e-01
TGM4 1.19
CCDC84 1.15e-01
FAM129C -3.54e-01
SERPINA9 2.86e-01
CORT 3.02e-01
GAS5 3.45e-01
LCT 2.53e-01
ERVH-1 7.28e-01
LOC101060363///PPIA -1.26e-01
NR2C1 -2.43e-01
MASP1 7.02e-01
LOC101928196 1.77e-01
PGLS 3.32e-01
MAP9 3.05e-01
PIPOX 3.70e-01
STAG1 2.26e-01
SNIP1 -1.24e-01
PPP1R3D -1.64e-01
CHERP -1.12e-01
TENM3 3.00e-01
CD300LG 9.36e-01
LINC00899 9.36e-01
FAM170B-AS1 9.36e-01
LINC00458 -9.36e-01
SPRED2 -9.36e-01
LINC00310 -9.36e-01
CLDN8 -9.36e-01
LINC00304 1.70
STOML2 -1.27e-01
TSPAN3 1.97e-01
PRKAR2A -2.35e-01
RXFP1 -1.95e-01
ADGRF1 -1.11
MOSPD1 -1.32e-01
GP2 1.42
CNPY2 3.02e-01
LOC100505978 5.67e-01
OSBPL7 5.67e-01
CDH6 -2.87e-01
DUOXA2 -8.20e-01
ZNF688 5.31e-01
PCGF2 -2.64e-01
NKTR 1.92e-01
KCNH6 5.40e-01
MS4A5 -6.02e-01
APOH 6.02e-01
DDHD1 1.88e-01
MRGPRX4 5.94e-01
LRRC37A7P 1.34
ARNTL2 1.56e-01
SLCO1A2 5.31e-01
BCL11A 1.05e-01
TAT -1.24
FSIP2 -1.16
PCSK2 1.82e-01
FAM90A2P///FAM90A25P///FAM86B3P///FAM90A1 9.12e-01
DHRS4-AS1 -8.23e-01
XPO5 1.31e-01
FAR1 -3.20e-01
NUP37 -1.09e-01
HERC1 1.44e-01
C1orf21 -3.77e-01
NFAM1 9.51e-01
HTRA2 1.82e-01
NUP205 1.19e-01
ME3 1.21e-01
LINC00176 6.06e-01
HLA-DPB1 -6.01e-01
ASB4 -5.15e-01
FAM71C -3.90e-01
GNA15 3.90e-01
PHACTR1 3.90e-01
ADCY1 3.90e-01
COL6A5 9.49e-01
ZCCHC2 -2.50e-01
LOC102606465 3.70e-01
IQGAP2 -1.25
SMAD3 1.15e-01
MSI2 -1.52e-01
EDNRB -2.20e-01
IKBKAP -1.10e-01
GM2A -2.26e-01
ITGB2 7.93e-01
ZNF140 -1.07e-01
CD6 -7.87e-01
EEF1D -1.38e-01
KATNBL1 2.45e-01
CLDN10 4.90e-01
SAMD10 -6.32e-01
LECT2 -9.69e-01
ZNF506 2.51e-01
LZIC -2.49e-01
PDGFC 1.29e-01
WWC1 1.69e-01
CHRNA1 -8.03e-01
CDK6 2.41e-01
SLC25A53 -1.30
ALKBH5 -1.86e-01
DLEU2 2.49e-01
NAPEPLD 1.26e-01
TDRD5 7.41e-01
MRPL55 1.97e-01
DUSP26 4.17e-01
GRTP1 -1.25
TMEM205 -2.65e-01
ATP1A2 -1.33
TMEM134 -1.37e-01
BHMT2 5.76e-01
NFKBIZ 1.16e-01
PC -2.85e-01
ZNF232 1.19e-01
CCDC96 -4.02e-01
RRAS2 1.59e-01
CDIP1 -1.02e-01
SKIV2L2 1.33
QRSL1 -1.59e-01
MALAT1 1.41e-01
KIAA0825 -9.75e-01
ESR1 -7.47e-01
CASP2 -2.41e-01
PGLYRP1 7.18e-01
ADD1 1.68e-01
TM2D3 1.09e-01
ZNF212 3.17e-01
GGTLC2 7.62e-01
RNMT 2.72e-01
LOC102724323 4.72e-01
KIAA1671 1.07e-01
NODAL -9.58e-01
SNHG4///MATR3 1.80e-01
TMEM151B -4.22e-01
FOXO1 2.95e-01
LOC101929134///HERC3 -5.31e-01
LUZP1 1.10e-01
MFSD6 -1.16e-01
ANKUB1 7.69e-01
ABCF2 -1.02e-01
GPHB5 4.78e-01
SECISBP2 -1.79e-01
RIT1 -1.91e-01
MROH8 7.83e-01
DARS-AS1 7.73e-01
LY6D 5.28e-01
RHEB 3.55e-01
UBA3 -1.81e-01
C15orf57 2.68e-01
NENF -5.28e-01
CTAG2 -4.09e-01
MRPS12 -1.28e-01
NKX2-2 1.69e-01
ALG13 -5.23e-01
MTX2 -1.45e-01
TFB1M 1.20e-01
PRDM5 -2.54e-01
RPRD2 -1.14e-01
RAPGEF5 2.66e-01
TMCO1 -1.17e-01
RAPGEF3 -6.13e-01
MYBPC3 6.37e-01
NRF1 -1.73e-01
ARL10 1.60e-01
MPZL1 1.99e-01
PPFIA3 -2.18e-01
ZXDC 2.03e-01
TEX36 -7.58e-01
MPST 1.08e-01
SUPT20H 1.24e-01
TMEM212 3.91e-01
KIF2A 1.04e-01
FAM3B -2.11e-01
FARP2 1.36e-01
MAMSTR -1.53e-01
LOC101928047 1.30
EQTN -5.22e-01
GLDN 4.93e-01
SIK3 1.80e-01
MGA 1.43e-01
C8orf59 2.03e-01
PTK6 8.62e-01
MAPK4 8.62e-01
CYP2C8 8.62e-01
ADH4 8.62e-01
BCL2L14 8.62e-01
CDH26 -8.62e-01
ARHGAP27 8.62e-01
SCARF1 5.00e-01
DHDDS -1.74e-01
USP3 1.21e-01
GPR34 1.34
PMCHL1 7.54e-01
PIGX -2.95e-01
UNC13B 1.44e-01
HCG18 1.16e-01
AATBC -4.03e-01
WDR83 1.46e-01
ARSD -3.06e-01
MMACHC -1.19e-01
KDELR3 1.82e-01
ZNF41 4.93e-01
ZNF780A -1.44e-01
SNCG -1.08
LINS1 1.56e-01
MAK16 -1.14e-01
PIWIL1 2.09e-01
TRIM10 -4.08e-01
LNPK -1.69e-01
ARNTL -1.03e-01
APRT -1.17e-01
METTL6 -7.32e-01
FOXP2 -1.29e-01
BBS7 -1.61e-01
UBE2F 2.06e-01
ZSCAN4 -8.54e-01
PCBP1-AS1 1.18
SLC16A1 1.60e-01
LOC105378052 -8.72e-01
PRELID2 -4.79e-01
CEP70 -1.38e-01
SEMA3D -4.99e-01
TTL -1.30e-01
LINC01226 6.33e-01
LMNA -4.14e-01
KANK3 7.17e-01
HSPA13 1.32e-01
IWS1 -1.38e-01
CENPU 1.31e-01
LANCL2 -1.26e-01
ALMS1P1 8.30e-01
IGK///IGKC -4.12e-01
ATF5 2.58e-01
HP1BP3 1.69e-01
FAM200A -6.02e-01
ASB10 2.17e-01
LINC01103 1.28
GIPC3 8.27e-01
TMEM86A -5.03e-01
NFATC2IP -1.16e-01
CERS4 -7.98e-01
BCL6B 3.37e-01
BCAP29 -1.31e-01
LOC101927539 1.10
KHK 8.85e-01
OR7E24 2.38e-01
HPGD -5.86e-01
KIAA0930 1.50e-01
MBD3 2.24e-01
BAALC -1.07
ACE 8.78e-01
SESN3 -1.51
TMEM221 3.60e-01
ZNF780B 5.26e-01
BRD2 1.11e-01
RIN2 7.53e-01
HPR -9.36e-01
SLC35F6///CENPA 1.11e-01
C2orf40 4.28e-01
LOC100130950 1.06
KDM3B -1.03e-01
ERN1 2.31e-01
FRS2 -2.68e-01
CRIPT 1.16e-01
MEP1B -1.01
USP48 -1.14e-01
LINC01141 -3.56e-01
MRPL15 -1.04e-01
MS4A6A 9.36e-01
KCNE1 -8.74e-01
HS3ST4 -2.33e-01
ARHGAP9 -3.19e-01
SPINK1 1.09
PLEKHA8P1 -2.21e-01
LOC101928682 -5.28e-01
AK9 -5.28e-01
CLEC7A 5.28e-01
LOC100505658 -5.28e-01
CRP 5.28e-01
GH1///CSHL1///CSH1 5.28e-01
GYPA -5.28e-01
MFSD7 5.28e-01
LINC00302 -5.28e-01
